,osm_id,highway,length,geometry
2366,199339636,bridleway,442.720119827387,"SRID=3857;LINESTRING(913777.3 6999060.43,914216.17 6999118.69)"
11613,24465539,bridleway,172.426282949895,"SRID=3857;LINESTRING(910922.82 7011447.09,910986.61 7011464.59,910998.81 7011476.81,911003.7 7011494.7,910999.63 7011540.3,911008.41 7011563.37)"
21170,23773588,bridleway,480.267826516457,"SRID=3857;LINESTRING(920443.42 7010273.69,920420.43 7010275.57,920393.22 7010286.98,920359.09 7010283.34,920332.11 7010272.26,920313.38 7010251.77,920264.51 7010163.59,920226.44 7010113.22,920190.28 7010094.3,920159.83 7010066.28,920146.22 7010032.13,920112.78 7010007.85,920105.96 7009997.72)"
6,53609159,bridleway,404.238551974204,"SRID=3857;LINESTRING(915075.2 6998970.78,915322.07 6998650.68)"
21180,23773585,bridleway,208.960996316326,"SRID=3857;LINESTRING(920542.43 7010541.38,920553.79 7010467.28,920549.62 7010454.73,920563.76 7010334.78999999)"
21166,23774031,bridleway,11.8527043345239,"SRID=3857;LINESTRING(920788.37 7009987.36,920784.52 7009976.15)"
21159,23774002,bridleway,118.366411471538,"SRID=3857;LINESTRING(920268.63 7009634.1,920301.19 7009633.04,920325.08 7009631.24,920345.39 7009627.66,920359.11 7009621.7,920372.46 7009619.36,920385.06 7009617.8)"
6870,702659451,construction,194.031659787295,"SRID=3857;LINESTRING(917773.43 7003992.98,917941.7 7004089.59)"
6849,645785818,construction,151.499683498766,"SRID=3857;LINESTRING(917535.48 7004281.21,917631.98 7004398)"
6848,702659452,construction,161.833833916133,"SRID=3857;LINESTRING(917696.99 7004129.13,917833.02 7004216.8)"
6846,645785817,construction,133.381487842017,"SRID=3857;LINESTRING(917428.57 7004355.6,917498.5 7004469.17999999)"
6843,504290326,construction,142.70493933817,"SRID=3857;LINESTRING(917251.5 7004143.24,917266.19 7004144.67,917393.54 7004157)"
6835,702659450,construction,199.634783543401,"SRID=3857;LINESTRING(917831.3 7003822.01,917989.18 7003944.19)"
6834,702659449,construction,189.06738296004,"SRID=3857;LINESTRING(917904.21 7003706.93,918050.38 7003826.85)"
6829,645785815,construction,1377.62180287637,"SRID=3857;LINESTRING(917225.87 7004416.7,917241.88 7004417.66,917303.48 7004402.97,917428.57 7004355.6,917535.48 7004281.21,917696.99 7004129.13,917773.43 7003992.98,917831.3 7003822.01,917904.21 7003706.93,917966.9 7003637.67,918116.49 7003476.44,918133.33 7003456.39)"
3349,34418109,construction,54.9484576671036,"SRID=3857;LINESTRING(912079.42 7005203.55,912134.21 7005199.38)"
6845,645785816,construction,156.703760326721,"SRID=3857;LINESTRING(917303.48 7004402.97,917359.86 7004549.18)"
5036,23750596,cycleway,81.3216864267089,"SRID=3857;LINESTRING(915405.08 7001479.84,915417.86 7001470.36,915430.11 7001465.75,915452.11 7001466.64,915474.14 7001474.79,915480.15 7001478)"
13635,281022288,cycleway,163.164882298328,"SRID=3857;LINESTRING(913988.29 7014370.45,913990.01 7014356.59,913887.43 7014248.25)"
13638,281022284,cycleway,8.77670211410661,"SRID=3857;LINESTRING(913987.21 7014379.16,913988.29 7014370.45)"
18946,663081156,cycleway,43.3952301558855,"SRID=3857;LINESTRING(912914.93 7017694.34999999,912950.87 7017718.67)"
7695,22568844,cycleway,169.352156136041,"SRID=3857;LINESTRING(911372.4 7007219.75,911350.72 7007217.04,911335.18 7007217.06,911320.86 7007215.87,911301.45 7007210.33,911291.11 7007206.88,911283.06 7007200.75,911276.16 7007193.09,911273.86 7007183.89,911272.33 7007172.01,911273.86 7007131.76999999,911272.62 7007127.6)"
7767,36918518,cycleway,14.9583154134299,"SRID=3857;LINESTRING(911478.86 7007761.74,911493.8 7007761)"
18947,26807728,cycleway,207.894742148643,"SRID=3857;LINESTRING(912905.81 7017652.16,912917.71 7017648.7,912947.81 7017643.5,912950.87 7017718.67,912951.85 7017747.24,912953.52 7017796.04,912949.49 7017807.67)"
7768,35223910,cycleway,34.279619706538,"SRID=3857;LINESTRING(911479.65 7007796.01,911479.43 7007782.48,911478.86 7007761.74)"
13640,24757065,cycleway,182.42483503905,"SRID=3857;LINESTRING(914100.8 7014519.4,913986.44 7014385.28,913987.21 7014379.16)"
6364,443729887,cycleway,44.7538568174753,"SRID=3857;LINESTRING(915488.45 7005560.87,915531.59 7005548.96)"
703,31276214,cycleway,499.158174611304,"SRID=3857;LINESTRING(908573.05 7007510.16,908466.27 7007667.63,908450.11 7007688.52,908414.88 7007757.75,908365.34 7007861.3,908325.8 7007942.17)"
702,31276216,cycleway,42.8878391347478,"SRID=3857;LINESTRING(908414.88 7007757.75,908382.91 7007740.92,908376.27 7007742.18)"
701,31276218,cycleway,47.1286106750927,"SRID=3857;LINESTRING(908466.27 7007667.63,908431.11 7007645.2,908425.81 7007644.05)"
20096,25561769,cycleway,124.689713476201,"SRID=3857;LINESTRING(915198.73 7017940.17,915201.18 7017947.05,915199.52 7017967.41,915195.08 7017988.55,915189.97 7018013.82,915189.67 7018048.45,915184.95 7018062.63)"
18860,25365166,cycleway,25.8120465630835,"SRID=3857;LINESTRING(913982.3 7016711.6,913979.45 7016712.04,913957.39 7016718.29)"
6367,120415561,cycleway,4.28544046926656,"SRID=3857;LINESTRING(915532.58 7005742.4,915532.03 7005746.65)"
13634,281022283,cycleway,7.50560456970246,"SRID=3857;LINESTRING(913881.97 7014253.39999999,913887.43 7014248.25)"
7728,30013049,cycleway,69.7912927070662,"SRID=3857;LINESTRING(911273.65 7007807.07,911269.96 7007797.9,911262.75 7007778.77,911258.07 7007771.66,911248.96 7007764.21,911242.95 7007759.85,911241.29 7007748.21)"
2884,42688940,cycleway,103.948579043923,"SRID=3857;LINESTRING(914589.15 7002321.75,914588.23 7002225.56,914589.91 7002217.99)"
2885,24881743,cycleway,19.0523961735745,"SRID=3857;LINESTRING(914590.92 7002340.72,914589.15 7002321.75)"
17744,22675973,cycleway,91.5950790160979,"SRID=3857;LINESTRING(917818.46 7014265.26,917909.94 7014269.84999999)"
6339,463881159,cycleway,296.581589034496,"SRID=3857;LINESTRING(915532.58 7005742.4,915466.46 7005756.83,915387.06 7005781.85,915317.09 7005824.98,915258.1 7005848.38)"
17741,22660799,cycleway,42.0879204411949,"SRID=3857;LINESTRING(917797.41 7014721.24,917796.54 7014717.68,917787.44 7014680.35)"
6348,35431550,cycleway,1556.25092443018,"SRID=3857;LINESTRING(915375.8 7004326.47,915423.29 7004382.01,915472.29 7004440.49,915479.4 7004448.93,915526.84 7004506.85,915559.11 7004546.55999999,915590.83 7004588.16,915600.12 7004612.48,915603.26 7004637.17,915599.95 7004678.23,915582.17 7004714.36,915527.47 7004786.59,915466.89 7004867.48,915436.49 7004957.88,915425.75 7005033.56,915424.78 7005065.16,915429.76 7005093.43,915447.43 7005187.06,915453.58 7005209.68,915478.27 7005300.51,915483.71 7005320.75,915509.28 7005441.08,915529.66 7005530.43,915531.59 7005548.96,915537.99 7005628.71,915538.68 7005666.1,915539.27 7005698.27,915532.58 7005742.4)"
5037,45739793,cycleway,7.08739726523574,"SRID=3857;LINESTRING(915480.15 7001478,915486.29 7001481.54)"
11890,183885657,cycleway,630.767932062639,"SRID=3857;LINESTRING(911609.08 7011606.99,911159.53 7011978.69,911116.53 7011998.76)"
