,wind_speed,temperature,roughness_length,pressure
,10,2,0,0
time,,,,
2015-01-01 01:15:00+01:00,5.47,275.15,0.15,1030.73
2015-01-01 01:30:00+01:00,5.52,275.15,0.15,1030.73
2015-01-01 01:45:00+01:00,5.57,275.15,0.15,1030.72
2015-01-01 02:00:00+01:00,5.62,275.15,0.15,1030.72
2015-01-01 02:15:00+01:00,5.65,275.14,0.15,1030.7
2015-01-01 02:30:00+01:00,5.69,275.12,0.15,1030.68
2015-01-01 02:45:00+01:00,5.73,275.11,0.15,1030.67
2015-01-01 03:00:00+01:00,5.77,275.09,0.15,1030.65
2015-01-01 03:15:00+01:00,5.83,275.07,0.15,1030.63
2015-01-01 03:30:00+01:00,5.9,275.05,0.15,1030.62
2015-01-01 03:45:00+01:00,5.97,275.03,0.15,1030.6
2015-01-01 04:00:00+01:00,6.04,275.01,0.15,1030.59
2015-01-01 04:15:00+01:00,6.06,274.97,0.15,1030.47
2015-01-01 04:30:00+01:00,6.09,274.92,0.15,1030.36
2015-01-01 04:45:00+01:00,6.11,274.88,0.15,1030.24
2015-01-01 05:00:00+01:00,6.14,274.84,0.15,1030.13
2015-01-01 05:15:00+01:00,6.19,274.79,0.15,1030.01
2015-01-01 05:30:00+01:00,6.23,274.74,0.15,1029.88
2015-01-01 05:45:00+01:00,6.28,274.69,0.15,1029.76
2015-01-01 06:00:00+01:00,6.33,274.64,0.15,1029.63
2015-01-01 06:15:00+01:00,6.36,274.6,0.15,1029.64
2015-01-01 06:30:00+01:00,6.39,274.55,0.15,1029.64
2015-01-01 06:45:00+01:00,6.42,274.5,0.15,1029.64
2015-01-01 07:00:00+01:00,6.46,274.46,0.15,1029.64
2015-01-01 07:15:00+01:00,6.47,274.4,0.15,1029.71
2015-01-01 07:30:00+01:00,6.48,274.34,0.15,1029.78
2015-01-01 07:45:00+01:00,6.5,274.28,0.15,1029.84
2015-01-01 08:00:00+01:00,6.51,274.23,0.15,1029.91
2015-01-01 08:15:00+01:00,6.54,274.16,0.15,1030.01
2015-01-01 08:30:00+01:00,6.56,274.1,0.15,1030.12
2015-01-01 08:45:00+01:00,6.59,274.04,0.15,1030.22
2015-01-01 09:00:00+01:00,6.61,273.98,0.15,1030.32
2015-01-01 09:15:00+01:00,6.79,273.96,0.15,1030.27
2015-01-01 09:30:00+01:00,6.96,273.94,0.15,1030.22
2015-01-01 09:45:00+01:00,7.14,273.92,0.15,1030.16
2015-01-01 10:00:00+01:00,7.31,273.9,0.15,1030.11
2015-01-01 10:15:00+01:00,7.43,274.01,0.15,1030.0
2015-01-01 10:30:00+01:00,7.56,274.13,0.15,1029.89
2015-01-01 10:45:00+01:00,7.68,274.24,0.15,1029.79
2015-01-01 11:00:00+01:00,7.81,274.35,0.15,1029.68
2015-01-01 11:15:00+01:00,7.59,274.48,0.15,1029.53
2015-01-01 11:30:00+01:00,7.36,274.61,0.15,1029.37
2015-01-01 11:45:00+01:00,7.14,274.74,0.15,1029.21
2015-01-01 12:00:00+01:00,6.92,274.87,0.15,1029.05
2015-01-01 12:15:00+01:00,6.99,274.99,0.15,1028.79
2015-01-01 12:30:00+01:00,7.06,275.1,0.15,1028.52
2015-01-01 12:45:00+01:00,7.13,275.21,0.15,1028.25
2015-01-01 13:00:00+01:00,7.21,275.32,0.15,1027.99
2015-01-01 13:15:00+01:00,7.19,275.45,0.15,1027.85
2015-01-01 13:30:00+01:00,7.18,275.58,0.15,1027.71
2015-01-01 13:45:00+01:00,7.18,275.7,0.15,1027.57
2015-01-01 14:00:00+01:00,7.17,275.83,0.15,1027.43
2015-01-01 14:15:00+01:00,7.11,275.85,0.15,1027.27
2015-01-01 14:30:00+01:00,7.05,275.86,0.15,1027.12
2015-01-01 14:45:00+01:00,6.99,275.88,0.15,1026.96
2015-01-01 15:00:00+01:00,6.92,275.9,0.15,1026.81
2015-01-01 15:15:00+01:00,6.95,275.81,0.15,1026.57
2015-01-01 15:30:00+01:00,6.99,275.72,0.15,1026.34
2015-01-01 15:45:00+01:00,7.03,275.63,0.15,1026.1
2015-01-01 16:00:00+01:00,7.07,275.54,0.15,1025.86
2015-01-01 16:15:00+01:00,7.15,275.46,0.15,1025.67
2015-01-01 16:30:00+01:00,7.22,275.37,0.15,1025.48
2015-01-01 16:45:00+01:00,7.3,275.29,0.15,1025.28
2015-01-01 17:00:00+01:00,7.37,275.21,0.15,1025.09
2015-01-01 17:15:00+01:00,7.46,275.19,0.15,1024.96
2015-01-01 17:30:00+01:00,7.54,275.17,0.15,1024.82
2015-01-01 17:45:00+01:00,7.63,275.15,0.15,1024.69
2015-01-01 18:00:00+01:00,7.71,275.12,0.15,1024.55
2015-01-01 18:15:00+01:00,7.85,275.13,0.15,1024.34
2015-01-01 18:30:00+01:00,7.98,275.13,0.15,1024.13
2015-01-01 18:45:00+01:00,8.12,275.13,0.15,1023.91
2015-01-01 19:00:00+01:00,8.25,275.13,0.15,1023.7
2015-01-01 19:15:00+01:00,8.46,275.15,0.15,1023.4
2015-01-01 19:30:00+01:00,8.66,275.16,0.15,1023.1
2015-01-01 19:45:00+01:00,8.86,275.17,0.15,1022.8
2015-01-01 20:00:00+01:00,9.07,275.18,0.15,1022.5
2015-01-01 20:15:00+01:00,9.3,275.22,0.15,1022.24
2015-01-01 20:30:00+01:00,9.54,275.26,0.15,1021.97
2015-01-01 20:45:00+01:00,9.78,275.3,0.15,1021.7
2015-01-01 21:00:00+01:00,10.01,275.34,0.15,1021.43
2015-01-01 21:15:00+01:00,10.17,275.36,0.15,1021.15
2015-01-01 21:30:00+01:00,10.33,275.39,0.15,1020.87
2015-01-01 21:45:00+01:00,10.5,275.42,0.15,1020.59
2015-01-01 22:00:00+01:00,10.66,275.44,0.15,1020.3
2015-01-01 22:15:00+01:00,10.8,275.47,0.15,1020.03
2015-01-01 22:30:00+01:00,10.94,275.49,0.15,1019.76
2015-01-01 22:45:00+01:00,11.08,275.51,0.15,1019.49
2015-01-01 23:00:00+01:00,11.23,275.53,0.15,1019.21
2015-01-01 23:15:00+01:00,11.44,275.6,0.15,1018.95
2015-01-01 23:30:00+01:00,11.66,275.67,0.15,1018.68
2015-01-01 23:45:00+01:00,11.89,275.74,0.15,1018.42
2015-01-02 00:00:00+01:00,12.11,275.8,0.15,1018.15
2015-01-02 00:15:00+01:00,12.17,275.83,0.15,1017.83
2015-01-02 00:30:00+01:00,12.22,275.86,0.15,1017.5
2015-01-02 00:45:00+01:00,12.27,275.88,0.15,1017.18
2015-01-02 01:00:00+01:00,12.32,275.91,0.15,1016.86
2015-01-02 01:15:00+01:00,12.39,275.94,0.15,1016.52
2015-01-02 01:30:00+01:00,12.46,275.97,0.15,1016.18
2015-01-02 01:45:00+01:00,12.53,276.0,0.15,1015.84
2015-01-02 02:00:00+01:00,12.6,276.03,0.15,1015.5
2015-01-02 02:15:00+01:00,12.67,276.09,0.15,1015.22
2015-01-02 02:30:00+01:00,12.73,276.14,0.15,1014.94
2015-01-02 02:45:00+01:00,12.79,276.2,0.15,1014.66
2015-01-02 03:00:00+01:00,12.86,276.26,0.15,1014.38
2015-01-02 03:15:00+01:00,12.86,276.33,0.15,1014.13
2015-01-02 03:30:00+01:00,12.86,276.4,0.15,1013.88
2015-01-02 03:45:00+01:00,12.87,276.46,0.15,1013.63
2015-01-02 04:00:00+01:00,12.88,276.53,0.15,1013.39
2015-01-02 04:15:00+01:00,12.93,276.62,0.15,1013.14
2015-01-02 04:30:00+01:00,12.99,276.71,0.15,1012.9
2015-01-02 04:45:00+01:00,13.06,276.8,0.15,1012.65
