,Load[MWh]
0,118.1376711484863
1,111.90637288317737
2,106.03479777451257
3,100.50127685370963
4,95.22758016297827
5,90.41459267886864
6,86.00094996045884
7,82.17891903101449
8,79.03931918832144
9,76.42292748064763
10,74.28652311349576
11,72.75446577451984
12,71.56515512424993
13,70.63941992920928
14,69.84507909044548
15,69.02935613398347
16,67.99545938843947
17,67.12030755269933
18,66.71528417462461
19,66.97014002999181
20,68.22889507336834
21,69.99667105925985
22,71.91942271583159
23,73.4961359577113
24,74.49712312659753
25,75.02755142513506
26,75.53708288489433
27,76.35775363706261
28,78.06895622238524
29,80.94032398427078
30,85.66729912292301
31,92.78726496979183
32,102.45698322560709
33,114.23237521643748
34,127.07710662409468
35,140.037577693612
36,150.98433196644544
37,162.57401723007672
38,173.22392939631
39,182.7084424779845
40,191.07358722544828
41,198.62515234853916
42,205.68447693583863
43,212.8220990085479
44,220.11891985104245
45,227.0705423981743
46,232.84876512272825
47,236.77342841395864
48,238.11814221584814
49,236.9081941403823
50,233.15105802728038
51,226.91747570382162
52,218.53677345270816
53,208.54746163317938
54,197.87209143111284
55,187.4259722478369
56,177.79110432443218
57,169.226331254455
58,161.85401457167364
59,155.73045541388018
60,150.96645986133305
61,147.03081668261206
62,143.80549793664804
63,140.62917767465598
64,139.0275384347779
65,136.7651456072022
66,136.32403913087427
67,138.94523617505666
68,145.09173081962192
69,153.90369671324984
70,163.9045219083369
71,173.76099999642022
72,182.30300293865292
73,189.72650562073323
74,196.56440563101845
75,203.1632256580476
76,209.74618233708966
77,215.23997309338313
78,218.1992737751661
79,216.96400650750397
80,210.92637795440893
81,201.49925551849125
82,191.0187640178083
83,181.46701298273283
84,174.62660174373283
85,169.81775399396707
86,165.90091876327642
87,161.71876259182602
88,156.45919478947113
89,150.031555364901
90,142.76932760164425
91,134.88042656033306
92,126.74125690531399
93,118.65592948752031
94,110.8853359135492
95,103.67447348244005
96,102.1072388366632
97,95.08739516555472
98,89.04373896522237
99,84.1481910126001
100,80.71601030854622
101,78.45023006179804
102,76.97302766014452
103,75.72444132326206
104,74.39933699194572
105,73.00953275320883
106,71.87493225746636
107,70.92842918372246
108,70.3900967591136
109,70.31430619978538
110,70.29964563523232
111,70.51445943173464
112,70.69265779870487
113,71.16200836244089
114,71.98903843304346
115,73.42786668180017
116,75.55333551709985
117,79.23809139291401
118,85.173715863958
119,94.10892895958081
120,106.48518158387505
121,120.9432189291558
122,135.8158894936607
123,149.3346100715042
124,161.32241843840083
125,171.49759526379194
126,180.36880126140971
127,188.49284118458684
128,196.23856394610144
129,203.10785071699445
130,208.24710328906102
131,211.09182546826872
132,209.606895482278
133,207.706142136877
134,204.77024613420338
135,202.23882639732335
136,200.83235915939713
137,200.4350901604009
138,200.7920547995714
139,201.6694859551163
140,202.7399600860814
141,203.94543810819252
142,205.48081458131236
143,207.4499041207221
144,209.77073042638838
145,211.80527312695492
146,212.6266354207939
147,211.64331805824358
148,208.25773993603966
149,203.09762553381262
150,197.09234804230547
151,191.22892197755888
152,186.2208794651079
153,182.27047434058406
154,179.32459310796258
155,177.16944090581825
156,175.89460978771498
157,175.32141934462297
158,175.04373336316138
159,175.11712938819653
160,176.74830639500604
161,177.50917057062645
162,179.3751588198855
163,183.15713673321542
164,189.02269256416113
165,196.47573563682556
166,204.81606591723704
167,213.27479871580033
168,221.18388180281318
169,228.04468937999732
170,233.54081454952106
171,237.44566711341173
172,239.37149999783452
173,239.0766791515827
174,236.31490384890597
175,230.8110574369338
176,222.76221347854468
177,212.96392926145006
178,202.83034251002752
179,193.5662727749605
180,186.14095797411008
181,180.1258993538635
182,174.78879344139185
183,169.30919592072482
184,163.058079095803
185,156.1258471894693
186,148.76019271554938
187,140.98052302221996
188,133.1662073929782
189,125.23732908871612
190,117.40920733962368
191,109.63896823104544
192,102.19557913806904
193,95.16684699941842
194,89.11548032121812
195,84.21339988040214
196,80.77638525407383
197,78.50720490076581
198,77.02778038222677
199,75.77776022962965
200,74.45173670940082
201,73.06128100667739
202,71.92641873545176
203,70.9795229984831
204,70.44080088537088
205,70.36474557583813
206,70.34969532278171
207,70.56450911928403
208,70.74283837399582
209,71.21271248869816
210,72.04039699800872
211,73.48013848623508
212,75.60678233648764
213,79.29441179317388
214,85.236051150888
215,94.18184533052941
216,106.57404246152583
217,121.05141847062582
218,135.9439542246377
219,149.48031787510257
220,161.48132210612815
221,171.66551531208162
222,180.54220967068179
223,188.6689952617108
224,196.4155033496749
225,203.28400479411835
226,208.42103524929948
227,211.2626190974305
228,209.7737714033564
229,207.86896648740907
230,204.9290218889105
231,202.3943329332122
232,200.98564357840047
233,200.5869377889682
234,200.94324798943086
235,201.82067914497574
236,202.89167682690714
237,204.09833283869253
238,205.63592845397653
239,207.6086798754292
240,209.93460187885316
241,211.97463294040207
242,212.80043649329076
243,211.8194721353675
244,208.43310868671415
245,203.26972804039022
246,197.2596136518873
247,191.39096100164144
248,186.37795367917442
249,182.4231043208795
250,179.47317449243306
251,177.314101607484
252,176.03561158205912
253,175.45928578261186
254,175.17898502104
255,175.25094128091766
256,176.8818594869654
257,177.64402956528025
258,179.51315614561594
259,183.30075033294847
260,189.17427841724532
261,196.63738497240467
262,204.989346413489
263,213.46075449993617
264,221.38303345107798
265,228.25665017860905
266,233.76453442182563
267,237.67944749349004
268,239.61286294276056
269,239.32261424330005
270,236.56175515481434
271,231.05463952402397
272,222.99834686325005
273,213.18960947515706
274,203.04452542552474
275,193.76960688151325
276,186.33553747558358
277,180.31329192843543
278,174.96965055304867
279,169.48325876870484
280,163.22430355289487
281,156.28331406676062
282,148.90825054905355
283,141.1186482609706
284,133.29427212395518
285,125.35520242417782
286,117.51701719259034
287,109.73684548925861
288,106.2410935273286
289,104.41393133152737
290,102.9839125172841
291,101.1923080264628
292,97.96227370081908
293,93.76086766396035
294,89.22685493432878
295,84.88466870765615
296,81.36029951657736
297,78.72796508274335
298,76.84531899535692
299,75.52894290917676
300,74.7942957259196
301,74.4497238308773
302,74.17014662947825
303,73.77857513232526
304,73.1947535157167
305,72.57903675346236
306,72.29013915700439
307,72.77197566311082
308,74.16835653187954
309,76.34622617314339
310,79.12872860600058
311,82.30054987610073
312,85.80967326994384
313,89.99168764243753
314,95.33664506101555
315,102.13434040447726
316,110.89514897380268
317,121.46325872104092
318,133.55783082337757
319,146.8401769536356
320,160.98627385821652
321,174.98957839033721
322,187.62833450968262
323,197.70305493452346
324,202.98554191263713
325,207.04363279940998
326,209.40116723840225
327,211.06383770786056
